Date,Open,High,Low,Close,Adj Close,Volume
01-01-2015,751.099976,754.5,747,749.150024,714.733154,284935
02-01-2015,751.25,781.450012,751.25,775.049988,739.443176,2080850
05-01-2015,779.900024,787.900024,772.700012,775,739.395447,1326999
06-01-2015,775,783,750.400024,756.5,721.745239,1510720
07-01-2015,763.400024,778.349976,759.25,771.700012,736.24707,1427667
08-01-2015,783.799988,822.900024,778.099976,820.349976,782.661987,2769416
09-01-2015,828.450012,829,804.049988,812.5,775.172546,1708427
12-01-2015,813.049988,818.400024,800.200012,807.75,770.64093,1320557
13-01-2015,813,842.450012,812.099976,833.849976,795.54187,3835281
14-01-2015,840,850,830.200012,842.650024,803.9375,2320114
15-01-2015,849,850,833,839.349976,800.789063,1308063
16-01-2015,844.900024,859,840,843.450012,804.700745,1568660
19-01-2015,846,848,829.549988,831.900024,793.681335,1041563
20-01-2015,835,847,835,839.200012,800.646057,1314139
21-01-2015,845,855.900024,839.200012,851.299988,812.190125,1663391
22-01-2015,856.5,881.650024,852.849976,867.150024,827.311829,1995155
23-01-2015,870.799988,879.950012,860.099976,862.099976,822.493835,1531430
27-01-2015,868.900024,892.799988,865.5,890.5,849.589355,1831293
28-01-2015,893.049988,921,891.049988,910.25,868.431885,2895714
29-01-2015,913.799988,922.5,867.200012,881.299988,840.81189,5326269
30-01-2015,888.5,888.5,854.099976,857.75,818.343811,3291034
02-02-2015,850,851.099976,803.5,808.099976,770.974792,4808585
03-02-2015,809.799988,826.5,802,814.700012,777.271545,3048559
04-02-2015,819.799988,823.200012,800.799988,803.849976,766.919983,912365
05-02-2015,812,826.400024,808,810.849976,773.598328,1668101
06-02-2015,810,815,788.799988,797.650024,761.004883,1668283
09-02-2015,790,822,783.400024,803.650024,766.729187,1910672
10-02-2015,801.900024,829.900024,799.849976,822.200012,784.427063,2235687
11-02-2015,830,845,828,840.75,802.124756,1227804
12-02-2015,847,849.900024,819.349976,823.75,785.905823,1974102
13-02-2015,824.349976,834.950012,815.049988,826.75,788.767944,1323475
16-02-2015,834,842.5,818,834.150024,795.827942,1584956
18-02-2015,839.099976,842,819.700012,821.049988,783.329956,1448399
19-02-2015,826,838,826,834.099976,795.780396,1216904
20-02-2015,834.25,836.099976,823.200012,825.700012,787.766174,699111
23-02-2015,829.5,833,806.099976,809.599976,772.405823,1434240
24-02-2015,810,813.5,798,799.549988,762.817505,1141027
25-02-2015,805.200012,816,805,813.849976,776.46051,1537365
26-02-2015,818.799988,819.900024,787.200012,791.900024,755.519104,1600594
27-02-2015,799.099976,809.099976,796.099976,807.150024,770.068298,1272026
02-03-2015,823.799988,830.599976,806,825.599976,787.670898,1383141
03-03-2015,829.849976,842,827.200012,838.299988,799.787415,1617826
04-03-2015,844.5,848.200012,832.400024,836.799988,798.356323,1600601
05-03-2015,837,841.549988,828,833.900024,795.5896,694150
09-03-2015,832.5,832.5,808.849976,812.650024,775.315918,626456
10-03-2015,813,818,802,807.950012,770.831665,691298
11-03-2015,818,819.950012,806.75,809,771.833374,942306
12-03-2015,814.799988,815,805.200012,808.099976,770.974792,979686
13-03-2015,811.900024,818.700012,805.599976,808.400024,771.260986,837992
16-03-2015,813,835.849976,809,831.849976,793.633728,1287189
17-03-2015,839.349976,841.950012,823,831.400024,793.204346,1384999
18-03-2015,835.849976,835.849976,810,814.200012,776.794495,1172762
19-03-2015,824,847.849976,821.700012,834.799988,796.448181,2037801
20-03-2015,836,837,805.599976,809.950012,772.739807,1245311
23-03-2015,816,816,805.5,811.599976,774.314026,759196
24-03-2015,809.650024,819.5,807.599976,813.299988,775.935852,755974
25-03-2015,813.799988,817.349976,802.5,808.5,771.356384,834390
26-03-2015,803,815.900024,788,793.099976,756.664001,1516627
27-03-2015,793,793,768.099976,778.150024,742.400818,1557785
30-03-2015,780.099976,809.75,780.049988,807.450012,770.354553,847421
31-03-2015,807.900024,817,802.049988,811.299988,774.027832,947718
01-04-2015,810,825.900024,803.5,821.700012,783.949951,898480
06-04-2015,829,831.400024,819,824.5,786.621399,687263
07-04-2015,824.349976,838.799988,821,835.200012,796.829773,769528
08-04-2015,841,854,840,846.849976,807.944458,982733
09-04-2015,855,856,841,853.150024,813.9552,1019655
10-04-2015,853,861.700012,843.200012,859.450012,819.96582,802074
13-04-2015,860,865.549988,852.400024,862.049988,822.446228,805167
15-04-2015,861.650024,863,835,839.049988,800.50293,1279621
16-04-2015,835,836.849976,810.599976,822.25,784.474731,1366075
17-04-2015,822.25,829.599976,815,816.799988,779.275085,685338
20-04-2015,818,819.299988,800,808.950012,771.785767,920198
21-04-2015,813.450012,816.900024,792,796.5,759.907776,652649
22-04-2015,800,806,769.200012,785.450012,749.365479,1779318
23-04-2015,793.099976,810,785,786.400024,750.27179,1275295
24-04-2015,792.5,792.5,765.049988,771.349976,735.913086,1123939
27-04-2015,775,775,740.549988,744.799988,710.582947,1625216
28-04-2015,741.950012,768.650024,730,765.450012,730.28418,2052761
29-04-2015,763.099976,763.099976,750,754.400024,719.741882,1445757
30-04-2015,749.299988,770.849976,747.200012,762.450012,727.421997,2260678
04-05-2015,769.849976,781.5,764,779.400024,743.593384,1071772
05-05-2015,780,784.849976,768.650024,781.400024,745.501404,952716
06-05-2015,779,779,750.150024,760.849976,725.895447,1616619
07-05-2015,753.299988,773.450012,734.849976,765.75,730.570374,1718402
08-05-2015,773,774.400024,752.75,759.400024,724.512329,1127201
11-05-2015,768,776.200012,751.900024,771.650024,736.19928,976348
12-05-2015,772.799988,772.849976,754,758.349976,723.510437,1137027
13-05-2015,759.049988,775,759,762.5,727.469727,839420
14-05-2015,762,803,755,796.450012,759.859985,1975784
15-05-2015,802,818,785,790.299988,753.992493,1503598
18-05-2015,796.849976,818,762,766.75,731.524353,6759860
19-05-2015,758,779.299988,750,774.75,739.156921,3903935
20-05-2015,775.650024,777.950012,764.150024,771.200012,735.769958,1793967
21-05-2015,770,779.799988,766.049988,777.200012,741.494324,1678041
22-05-2015,775,779.799988,771.200012,775.400024,739.7771,1039136
25-05-2015,775.950012,778.75,754.400024,761.900024,726.897278,1282826
26-05-2015,762.099976,769,755.549988,763.5,728.423889,906103
27-05-2015,762,762.049988,754.400024,759.25,724.368958,792609
28-05-2015,760.150024,771,758.5,767.349976,732.096863,1051538
29-05-2015,768.5,795,768,787.049988,750.891846,2583950
01-06-2015,787.799988,794.700012,786.299988,789.75,753.467712,713447
02-06-2015,789.099976,794.299988,756,759.200012,724.321472,1014316
03-06-2015,763,767,750,762.700012,727.660583,867736
04-06-2015,763.900024,766,751.799988,759.599976,724.702881,820596
05-06-2015,759,765.599976,752,758.799988,723.939697,830300
08-06-2015,759,760,745,748,713.635742,795683
09-06-2015,744.799988,751.200012,730,735.700012,701.90094,998511
10-06-2015,736,745.099976,734.599976,739.150024,705.192444,803748
11-06-2015,739.200012,743.700012,702.5,708.400024,675.855103,1453089
12-06-2015,709,722.799988,702,705.650024,673.231506,1168519
15-06-2015,714.75,719.400024,696.400024,698.549988,666.457642,1244078
16-06-2015,700.950012,706,693,704.950012,672.56366,2765685
17-06-2015,708,719.200012,705,710.650024,678.001709,2215497
18-06-2015,718.950012,734.349976,718.950012,728.950012,695.460999,1908157
19-06-2015,733.799988,744.900024,729.75,740,706.003357,1783890
